location,area_sqft,bhk,bath,price
Gandhinagar,554,3,2,3894887
Junagadh,1062,5,4,5103231
Jamnagar,2141,2,1,10325011
Mahuva,2155,4,3,12065188
Ahmedabad,1657,4,3,12318249
Morbi,3107,1,1,12482869
Amreli,3167,5,3,17780435
Gondal,1372,4,1,7069609
Patan,1925,1,1,8000439
Palanpur,1003,2,1,4087781
Gondal,3338,2,3,15359522
Vapi,934,5,2,6612847
Gandhidham,1688,4,4,9505490
Porbandar,3006,1,2,13770517
Surendranagar,3636,3,1,15633119
Surendranagar,2091,4,4,12572627
Gondal,1520,3,2,6965982
Valsad,3859,5,4,25515657
Anand,4392,1,1,22557965
Nadiad,1660,4,1,8698307
Gondal,2409,5,1,13559223
Gandhinagar,2535,3,1,17688481
Mehsana,4066,1,3,23732200
Bharuch,1221,3,2,5430663
Mehsana,354,5,3,2272765
Gandhinagar,3323,3,2,22138976
Jamnagar,1051,4,1,6353644
Anand,1401,4,2,7443673
Botad,2085,5,2,11919699
Dwarka,3409,4,4,17922874
Porbandar,874,3,1,4110863
Porbandar,2154,1,1,9289355
Rajkot,2225,1,1,12375470
Bhavnagar,2299,3,4,11287051
Anand,4222,2,4,24789925
Navsari,1122,1,4,5215660
Mahuva,4175,1,1,14804673
Dahod,1245,2,2,4325912
Veraval,1498,4,2,7659585
Gandhidham,967,4,1,4653657
Ahmedabad,1114,2,2,7472581
Jetpur,2101,4,1,9403966
Ahmedabad,3548,3,4,25728545
Sidhpur,1618,2,3,6485130
Rajkot,849,3,1,4188520
Jetpur,4469,5,2,20951803
Jamnagar,1872,1,1,8762842
Gandhidham,3657,1,2,17907635
Vadodara,1021,4,3,8158114
Morbi,2923,2,3,13306190
Godhra,4095,3,1,14944592
Junagadh,950,5,2,5003490
Anand,3209,1,2,14777042
Mehsana,3939,5,3,26198879
Ahmedabad,2802,1,2,16916831
Junagadh,1623,3,3,8129777
Dahod,2017,3,4,8014880
Rajkot,1106,4,3,6098790
Dahod,1421,3,2,6156966
Botad,429,1,1,2017556
Nadiad,645,3,2,3339368
Vadodara,2875,3,1,20321122
Morbi,2394,1,3,11426812
Mahuva,1616,2,2,8199261
Bharuch,3727,1,2,17480440
Dahod,3722,2,3,13177107
Junagadh,3483,1,4,14190029
Gondal,3214,3,2,14619591
Navsari,3614,3,3,21281294
Vapi,3226,5,4,25184437
Dahod,576,1,3,1928882
Valsad,663,1,4,3474854
Surendranagar,3924,5,1,19821946
Navsari,2436,1,4,10109332
Navsari,3333,4,1,19999134
Dahod,2921,1,3,10814464
Mahuva,3022,4,3,15766442
Navsari,3794,4,2,21434782
Godhra,3676,5,1,16429109
Morbi,3871,5,3,21225856
Veraval,2100,5,4,13892304
Mehsana,1044,3,3,5325689
Gandhidham,2892,2,2,13214344
Vadodara,2355,4,1,15552408
Navsari,3495,4,4,18708175
Ahmedabad,1223,4,2,8553970
Gondal,761,5,2,4701421
Gandhinagar,4089,2,4,32740565
Surendranagar,3975,5,4,24824111
Veraval,1653,4,4,8890593
Gandhidham,2621,5,4,17282158
Vapi,3953,1,3,20961929
Dahod,2969,5,1,11622399
Porbandar,3487,2,2,13565253
Mahuva,3060,5,4,16608467
Morbi,3791,4,1,20759085
Bhuj,4257,1,3,18506966
Bhuj,3782,5,2,21232397
Vapi,3920,4,1,24504052
Dwarka,1702,4,2,10835797
Surat,3577,5,1,22923935
Botad,1461,4,2,6486917
Bhuj,3031,2,4,14540778
Bhuj,2629,4,3,15877688
Jetpur,508,5,1,3041487
Amreli,2186,1,1,9092831
Gandhidham,1983,1,2,8769337
Jetpur,1287,5,2,6857373
Valsad,3371,2,1,19515916
Mehsana,2898,1,1,15781728
Bhuj,3599,2,1,17128836
Gandhidham,1184,3,1,6740276
Vadodara,3194,5,4,25696501
Bhavnagar,4494,3,1,24327562
Sidhpur,1214,4,3,6172490
Gondal,1603,4,2,8951356
Vapi,4310,4,4,33228539
Vapi,2990,2,1,16135832
Veraval,2347,4,4,12928513
Sidhpur,3012,2,4,12392129
Valsad,3138,3,3,19191358
Navsari,1051,2,4,5409747
Gandhidham,4250,4,4,27840037
Jamnagar,2760,2,4,15050021
Godhra,3373,4,3,15736749
Dahod,3232,4,3,13426355
Porbandar,1338,2,3,5455611
Bharuch,1919,2,4,8862532
Palanpur,1173,2,3,4834018
Bharuch,2826,1,2,11585036
Rajkot,2743,2,4,14160134
Ahmedabad,2679,4,4,21516491
Bharuch,770,3,4,3578733
Bhavnagar,3632,4,1,19277406
Rajkot,1592,2,3,7946332
Gandhidham,1320,5,4,8653770
Porbandar,3466,4,4,17224175
Botad,2851,5,1,15375728
Junagadh,2052,2,3,9849246
Mehsana,2314,2,1,10724924
Mahuva,4040,5,4,21112286
Porbandar,2710,3,4,11853491
Porbandar,2517,5,2,12945378
Porbandar,1570,3,2,6489640
Mehsana,2869,5,3,18153481
Gondal,2841,4,3,15287791
Sidhpur,3936,1,1,16972303
Surendranagar,2401,1,1,9206763
Surat,2557,5,1,20075629
Bharuch,4204,5,4,27475074
Bharuch,3920,4,1,19723493
Mahuva,3080,3,1,15595112
Dahod,3722,4,3,17160646
Dwarka,650,4,1,3333853
Surendranagar,1299,4,1,6739559
Gondal,3735,1,2,16476759
Sidhpur,3971,1,2,14765530
Anand,2709,4,4,14547656
Gandhidham,1647,3,1,8762693
Jamnagar,2190,1,4,12015819
Nadiad,4432,3,3,23513803
Jetpur,4218,2,4,20666908
Bhuj,1911,5,2,11906811
Vapi,3749,3,3,26565449
Palanpur,2795,5,4,16796480
Veraval,4317,3,3,23329578
Bhuj,4080,3,2,23538014
Gandhidham,3487,2,4,16293596
Jetpur,3473,4,2,17720436
Vadodara,1384,5,3,11455218
Veraval,1166,5,4,6102586
Nadiad,3708,2,1,17790916
Valsad,3123,5,4,22452902
Dahod,3463,3,4,16445422
Vadodara,910,2,3,6597402
Jamnagar,3905,1,1,17106476
Godhra,587,1,3,2552146
Palanpur,3286,3,4,14378085
Mahuva,1825,2,2,7134591
Bhuj,2322,4,2,11447127
Valsad,4114,3,1,26070398
Gondal,2706,5,2,13055171
Amreli,2800,4,3,13523357
Godhra,1981,4,4,8601744
Bhuj,3290,5,3,21810752
Palanpur,529,4,3,2272183
Rajkot,4419,3,2,26646723
Amreli,2144,2,3,9848070
Anand,1145,1,3,6114648
Vadodara,3338,2,1,22320379
Surendranagar,3753,2,2,15286422
Patan,4460,3,2,19107991
Jetpur,2767,3,1,12870524
Bhavnagar,1503,2,4,8626825
Patan,1089,4,1,4797347
Gandhinagar,4075,3,3,32858837
Patan,1237,2,4,4906276
Surendranagar,2163,1,4,10985995
Godhra,3694,1,2,12464409
Vadodara,2843,4,1,16790438
Anand,3533,4,3,21766723
Mahuva,1615,4,1,8585384
Mahuva,2641,1,3,10446392
Veraval,2284,3,1,13077683
Patan,3288,1,4,13298114
Gandhinagar,4075,1,2,28774215
Surat,764,3,2,5888892
Morbi,912,5,2,5032820
Porbandar,3041,2,1,12301958
Nadiad,1414,5,3,9306368
Gandhinagar,561,2,1,3767010
Gandhidham,3002,1,2,13387882
Anand,3798,5,1,23742644
Jetpur,4022,3,1,18618289
Porbandar,705,5,3,3768109
Surat,848,4,4,6260389
Junagadh,4366,4,1,23613795
Surendranagar,1565,1,2,6271201
Surendranagar,3470,5,3,18963937
Botad,1162,1,2,4881349
Porbandar,3739,3,4,18137258
Junagadh,2910,4,3,15663969
Patan,1600,4,1,6666610
Jamnagar,1113,4,1,6326956
Patan,1415,5,1,7228719
Dahod,1351,4,3,6594457
Botad,771,3,3,3671034
Morbi,1617,4,2,9097386
Amreli,3361,1,3,14095253
Botad,565,5,3,2700555
Vapi,2881,3,3,15985592
Nadiad,3633,1,2,18223193
Surat,1101,5,2,7971592
Gondal,3142,2,3,14265820
Surendranagar,1045,1,2,4033982
Rajkot,1018,3,4,6596848
Sidhpur,3971,4,3,17814113
Gandhinagar,3177,4,1,23348540
Sidhpur,2876,1,2,11122345
Rajkot,412,2,3,2642464
Anand,2443,3,3,12068955
Sidhpur,3877,2,2,15878394
Porbandar,4448,5,3,21068167
Vadodara,3923,1,4,26958112
Surendranagar,3866,5,4,23366800
Mahuva,2721,1,4,10377478
Surendranagar,1757,5,4,10976816
Patan,1071,4,1,4686859
Dwarka,994,4,3,6121748
Porbandar,3078,2,1,13356085
Gandhinagar,1938,3,3,16261525
Nadiad,2285,1,2,9948691
Bharuch,1602,1,2,7953360
Sidhpur,4150,5,4,23151657
Surendranagar,2939,2,4,12404276
Veraval,2830,3,1,13600134
Bhavnagar,2892,4,4,14160237
Patan,2701,1,1,11081102
Bhuj,4140,5,1,22311394
Navsari,2983,5,4,18185687
Rajkot,4040,1,3,24589584
Jamnagar,4483,2,1,19679860
Veraval,3949,5,2,21839106
Palanpur,3523,4,3,18583057
Rajkot,3091,1,3,14547559
Bhuj,2677,3,2,12889434
Nadiad,3215,3,4,16039028
Jamnagar,2886,5,4,18322376
Dahod,1396,5,1,6367901
Botad,3314,1,3,13810698
Morbi,3149,4,2,14807703
Anand,1619,1,3,8775616
Junagadh,659,3,2,3200700
Nadiad,1679,2,2,8911215
Vadodara,3715,3,2,27544888
Palanpur,4027,2,2,16544143
Jetpur,1939,3,4,9811634
Palanpur,3478,5,4,21456724
Navsari,1483,3,1,7754305
Patan,1190,5,1,5558704
Mehsana,2584,4,2,16831874
Jamnagar,2168,4,3,13723898
Mahuva,786,4,3,3726099
Jamnagar,3421,2,1,15352712
Junagadh,3096,2,2,11940002
Jetpur,1486,4,4,8304625
Jamnagar,505,3,2,2867204
Botad,1260,3,2,5739954
Rajkot,2303,4,4,13140903
Sidhpur,484,5,2,2577876
Palanpur,3866,1,3,15038121
Mahuva,1884,1,3,7098277
Surat,3548,4,1,25528258
Patan,2427,1,3,11070515
Amreli,2325,1,3,8525410
Amreli,3123,2,4,15988858
Jetpur,1843,2,1,8676287
Gondal,652,3,2,2797459
Navsari,693,3,3,3705796
Jetpur,2425,1,2,9750961
Rajkot,3069,3,1,18942950
Botad,3626,4,4,18686347
Bharuch,4414,4,3,26684082
Vapi,1026,4,1,6494159
Bharuch,2756,3,1,11620267
Palanpur,2860,4,4,13312949
Veraval,3229,4,1,18266854
Amreli,3913,3,1,14973690
Dwarka,3326,5,2,22150171
Nadiad,3939,1,2,16135166
Patan,3316,4,1,16163970
Veraval,3388,3,4,19968061
Anand,3356,4,3,20556174
Gandhidham,1279,1,2,6120587
Bhuj,1314,3,3,7249840
Morbi,2689,4,2,12228831
Bhavnagar,4053,2,4,23442031
Surendranagar,3196,1,3,15711715
Mehsana,1776,3,2,8884751
Navsari,1487,2,4,6619910
Patan,4178,5,2,22143360
Jamnagar,888,3,4,5568528
Jetpur,3715,4,1,16417150
Surendranagar,957,4,4,5445870
